Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
216,0.0520,0.0297,0.3473,0.0616,0.4088,0.7063,-0.0060
217,0.0471,0.0303,0.2520,0.0877,0.3396,0.6232,-0.0193
218,0.0520,0.0283,0.2496,0.0922,0.3418,0.5947,-0.0169
219,0.0508,0.0308,0.2625,0.0613,0.3239,0.6287,-0.0097
220,0.0508,0.0303,0.2450,0.0924,0.3374,0.5615,-0.0109
221,0.0532,0.0270,0.2470,0.0628,0.3098,0.6334,-0.0085
222,0.0483,0.0306,0.2182,0.0628,0.2810,0.6340,-0.0121
223,0.0544,0.0326,0.2936,0.0632,0.3568,0.6796,-0.0157
224,0.0520,0.0294,0.2190,0.0612,0.2802,0.6388,-0.0133
225,0.0495,0.0298,0.3063,0.0308,0.3371,0.7255,-0.0133
226,0.0495,0.0281,0.2492,0.0913,0.3405,0.6088,-0.0145
227,0.0508,0.0306,0.2179,0.0752,0.2932,0.6552,-0.0157
228,0.0508,0.0299,0.2166,0.0623,0.2789,0.6346,-0.0157
229,0.0520,0.0303,0.2890,0.0624,0.3514,0.6919,-0.0181
230,0.0544,0.0280,0.2435,0.0934,0.3369,0.5477,-0.0145
231,0.0471,0.0314,0.2358,0.1191,0.3548,0.5786,-0.0145
232,0.0520,0.0312,0.2743,0.0930,0.3673,0.6587,-0.0145
233,0.0495,0.0288,0.2786,0.0614,0.3400,0.6530,-0.0048
234,0.0544,0.0308,0.2161,0.0626,0.2787,0.6474,-0.0036
235,0.0508,0.0306,0.3102,0.0930,0.4031,0.5974,-0.0085
236,0.0544,0.0324,0.2463,0.1069,0.3532,0.6130,-0.0145
237,0.0520,0.0318,0.2478,0.0675,0.3152,0.6107,-0.0097
238,0.0471,0.0347,0.2162,0.1398,0.3560,0.4760,-0.0181
239,0.0568,0.0351,0.2793,0.0615,0.3408,0.6722,-0.0193
240,0.0495,0.0321,0.2163,0.0945,0.3108,0.5285,-0.0133
241,0.0508,0.0296,0.2783,0.0318,0.3102,0.6803,-0.0169
242,0.0520,0.0330,0.1981,0.0872,0.2854,0.5761,-0.0145
243,0.0495,0.0305,0.2513,0.0781,0.3294,0.5885,-0.0145
244,0.0508,0.0347,0.2792,0.0750,0.3543,0.6431,-0.0157
245,0.0544,0.0307,0.3728,0.0604,0.4332,0.6670,-0.0097
