Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
136,0.1909,0.1715,0.2392,0.0483,0.2875,2.1919,-0.0653
137,0.1958,0.1750,0.2252,0.0638,0.2890,2.1506,-0.0918
138,0.1909,0.1716,0.2394,0.0640,0.3034,2.2609,-0.1366
139,0.1946,0.1562,0.2239,0.0578,0.2817,2.1849,-0.0967
140,0.1946,0.1443,0.2254,0.0606,0.2860,2.1916,-0.1414
141,0.1861,0.1802,0.1700,0.0805,0.2506,2.1206,-0.0508
142,0.1982,0.1637,0.2310,0.0566,0.2876,2.3058,-0.1547
143,0.1897,0.1640,0.2243,0.0641,0.2883,2.2180,-0.0846
144,0.1921,0.1734,0.2235,0.0769,0.3004,2.1829,-0.0822
145,0.2018,0.1741,0.2396,0.0673,0.3069,2.3398,-0.1329
146,0.1970,0.1880,0.2369,0.0647,0.3016,2.2053,-0.1317
147,0.2163,0.1865,0.2237,0.0643,0.2879,2.1903,-0.1160
148,0.2018,0.1665,0.2392,0.0479,0.2871,2.3413,-0.1317
149,0.1946,0.1711,0.2236,0.0807,0.3043,2.1838,-0.1390
150,0.2042,0.1886,0.2221,0.0710,0.2931,2.1906,-0.0616
151,0.1994,0.1675,0.2410,0.0469,0.2880,2.3950,-0.1196
152,0.1921,0.1814,0.2388,0.0486,0.2874,2.4157,-0.0773
153,0.1982,0.1727,0.2305,0.0477,0.2781,2.2515,-0.1704
154,0.1994,0.1806,0.2228,0.0639,0.2867,2.2726,-0.1353
155,0.1994,0.1766,0.2398,0.0748,0.3146,2.3617,-0.1486
156,0.1958,0.1504,0.2386,0.0470,0.2856,2.4701,-0.1136
157,0.1994,0.1588,0.2239,0.0776,0.3016,2.1370,-0.1559
158,0.1934,0.1946,0.2704,0.0481,0.3185,2.4213,-0.1474
159,0.1958,0.1799,0.2233,0.0483,0.2715,2.2561,-0.1148
160,0.1970,0.1874,0.2400,0.0479,0.2879,2.3180,-0.1329
161,0.1994,0.1896,0.2376,0.0484,0.2861,2.3970,-0.1474
162,0.2018,0.1960,0.2231,0.0959,0.3190,2.2799,-0.1341
163,0.1970,0.2041,0.2394,0.0481,0.2875,2.4588,-0.0931
164,0.1994,0.1967,0.2229,0.0645,0.2874,2.2628,-0.1293
165,0.2018,0.1705,0.2238,0.0642,0.2880,2.2827,-0.0713
166,0.1946,0.1896,0.1922,0.0805,0.2728,1.8861,-0.1486
167,0.1934,0.1781,0.2256,0.0787,0.3043,2.2107,-0.1076
168,0.2079,0.1985,0.2071,0.0804,0.2875,2.0721,-0.1305
169,0.2066,0.1965,0.2397,0.0480,0.2877,2.4300,-0.1378
170,0.1994,0.1929,0.2223,0.0480,0.2704,2.2875,-0.1112
171,0.2042,0.1812,0.2241,0.0476,0.2717,2.3479,-0.1329
172,0.2042,0.1921,0.2395,0.0480,0.2875,2.4940,-0.1511
173,0.1982,0.1840,0.2254,0.0465,0.2719,2.2533,-0.1523
174,0.2066,0.1713,0.2419,0.0455,0.2875,2.5273,-0.1257
175,0.2018,0.2092,0.2329,0.0618,0.2948,2.3980,-0.1402
176,0.2006,0.1683,0.2079,0.0641,0.2719,2.1586,-0.1305
177,0.1909,0.1768,0.2218,0.0544,0.2762,2.2973,-0.1184
178,0.2030,0.1526,0.2084,0.0752,0.2836,2.1535,-0.1450
179,0.2066,0.1800,0.2234,0.0479,0.2713,2.3667,-0.0640
180,0.2030,0.2006,0.2360,0.0476,0.2836,2.5401,-0.1789
181,0.2006,0.1976,0.2072,0.0799,0.2871,2.1083,-0.1450
182,0.2066,0.1940,0.2079,0.0818,0.2897,2.1793,-0.1196
183,0.2091,0.1689,0.2239,0.0790,0.3028,2.1896,-0.1740
184,0.2018,0.2056,0.2081,0.0641,0.2722,2.1888,-0.1462
185,0.2018,0.1824,0.2040,0.0644,0.2684,2.0993,-0.1353
