Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
429,0.0166,0.0658,34.4075,NaN,NaN,1.3246,0.0000
430,0.0166,0.0658,41.5143,NaN,NaN,0.0500,0.0000
431,0.0166,0.0658,40.8995,NaN,NaN,0.0513,0.0000
432,0.0165,0.0658,40.9061,NaN,NaN,0.0502,0.0000
433,0.0166,0.0658,14.6253,NaN,NaN,2.8897,0.0000
434,0.0165,0.0658,41.2149,NaN,NaN,0.0500,0.0000
435,0.0166,0.0658,37.1738,NaN,NaN,0.7755,0.0000
436,0.0166,0.0658,0.4967,NaN,NaN,0.0693,0.0000
437,0.0166,0.0658,1.9886,NaN,NaN,0.3649,0.0000
438,0.0166,0.0658,0.3717,NaN,NaN,0.0464,0.0000
439,0.0166,0.0658,41.5152,NaN,NaN,0.0500,0.0000
440,0.0166,0.0657,32.4744,NaN,NaN,1.6904,0.0000
