Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
282,0.3674,0.2963,0.3744,0.1089,0.4833,2.7115,-0.0508
283,0.3130,0.2614,0.4044,0.0921,0.4965,2.7172,-0.0471
284,0.4157,0.3406,0.4181,0.0930,0.5110,2.9676,-0.0495
285,0.4193,0.2757,0.4067,0.0608,0.4675,2.9849,-0.0508
286,0.3746,0.2637,0.3723,0.0820,0.4544,2.8523,-0.0483
287,0.3976,0.2998,0.4170,0.0731,0.4901,2.9730,-0.0508
288,0.3819,0.3323,0.3952,0.1244,0.5197,2.8142,-0.0508
289,0.3033,0.2399,0.3424,0.0936,0.4360,2.5308,-0.0483
290,0.4544,0.3778,0.4342,0.0620,0.4962,3.2009,-0.0495
291,0.3686,0.2886,0.4037,0.0933,0.4970,2.8525,-0.0508
292,0.3372,0.2443,0.3635,0.1031,0.4666,2.7322,-0.0447
293,0.3239,0.2491,0.3439,0.0940,0.4379,2.5617,-0.0532
294,0.4423,0.3120,0.4195,0.0928,0.5123,2.9374,-0.0495
295,0.4278,0.3217,0.4075,0.0625,0.4700,3.1266,-0.0471
296,0.3275,0.2817,0.3543,0.0933,0.4476,2.6805,-0.0508
297,0.3202,0.2896,0.3307,0.1369,0.4676,2.4563,-0.0495
298,0.4930,0.3805,0.4278,0.0787,0.5066,3.2347,-0.0495
299,0.4048,0.3429,0.3873,0.1253,0.5126,2.9487,-0.0544
300,0.3867,0.3649,0.3699,0.1250,0.4949,2.8229,-0.0483
301,0.3927,0.3561,0.3733,0.1242,0.4975,2.9039,-0.0495
302,0.4991,0.4348,0.4194,0.1087,0.5281,3.2938,-0.0471
303,0.4725,0.3809,0.4033,0.0942,0.4974,3.1493,-0.0520
304,0.4230,0.4021,0.4351,0.0941,0.5292,3.3271,-0.0520
305,0.4205,0.3513,0.4189,0.0927,0.5116,3.1108,-0.0532
306,0.4701,0.4330,0.4336,0.0615,0.4951,3.3086,-0.0495
307,0.4326,0.3221,0.3893,0.0903,0.4796,3.0816,-0.0532
308,0.4798,0.4135,0.4051,0.1085,0.5136,3.2236,-0.0520
309,0.4761,0.3834,0.4352,0.0928,0.5280,3.2236,-0.0508
310,0.3782,0.2855,0.3890,0.0940,0.4830,2.8406,-0.0459
311,0.5547,0.5292,0.4334,0.0783,0.5117,3.5961,-0.0471
312,0.3879,0.2921,0.3884,0.0925,0.4808,2.9813,-0.0556
313,0.4145,0.4045,0.3970,0.0840,0.4810,3.1952,-0.0532
314,0.4894,0.4294,0.4005,0.0915,0.4920,3.3056,-0.0532
315,0.4290,0.3599,0.3871,0.0637,0.4508,3.1373,-0.0544
316,0.3504,0.2233,0.3510,0.0933,0.4443,2.6964,-0.0508
317,0.4024,0.3329,0.3848,0.1236,0.5084,2.8462,-0.0532
318,0.3710,0.2967,0.3858,0.0935,0.4792,2.8462,-0.0556
319,0.4362,0.3581,0.4033,0.0928,0.4961,3.2472,-0.0544
320,0.3637,0.3488,0.3578,0.0932,0.4511,2.8451,-0.0520
321,0.4411,0.3850,0.4188,0.0934,0.5122,3.1844,-0.0592
322,0.4145,0.3693,0.3722,0.0942,0.4664,3.0995,-0.0532
323,0.4399,0.3537,0.4039,0.0923,0.4961,3.2214,-0.0556
324,0.3613,0.3168,0.3415,0.1238,0.4653,2.8081,-0.0483
325,0.3867,0.2853,0.3749,0.0803,0.4552,2.9804,-0.0532
326,0.3359,0.2890,0.3412,0.1076,0.4488,2.7352,-0.0580
327,0.4024,0.3680,0.3873,0.0930,0.4804,3.2349,-0.0556
328,0.4350,0.3497,0.3723,0.0788,0.4510,3.0842,-0.0556
329,0.3710,0.3139,0.3854,0.0929,0.4783,2.9714,-0.0580
330,0.3263,0.2970,0.3407,0.1242,0.4649,2.8576,-0.0556
331,0.4230,0.3381,0.4037,0.0624,0.4661,3.1703,-0.0580
332,0.3795,0.3394,0.3885,0.0932,0.4817,3.0153,-0.0520
333,0.5172,0.4974,0.4192,0.0930,0.5122,3.5138,-0.0604
334,0.3335,0.2806,0.3414,0.0683,0.4097,2.7988,-0.0471
335,0.4362,0.3694,0.3392,0.1092,0.4484,2.9051,-0.0556
336,0.3154,0.2461,0.3432,0.1234,0.4667,2.6271,-0.0520
337,0.5063,0.5208,0.3880,0.0926,0.4806,3.3427,-0.0520
338,0.3529,0.2973,0.3413,0.1132,0.4545,2.7787,-0.0544
339,0.4072,0.3390,0.4085,0.0885,0.4970,3.2706,-0.0568
340,0.3492,0.2384,0.3517,0.0929,0.4446,2.8040,-0.0532
341,0.4665,0.3686,0.3846,0.0932,0.4778,3.2236,-0.0532
342,0.3396,0.2532,0.3417,0.0787,0.4204,2.7913,-0.0580
343,0.3770,0.3622,0.3145,0.1042,0.4186,2.7272,-0.0556
344,0.4810,0.4184,0.3722,0.0831,0.4553,3.2237,-0.0580
345,0.4350,0.4032,0.3878,0.0765,0.4643,3.2218,-0.0556
346,0.4097,0.3304,0.3602,0.1370,0.4972,2.9754,-0.0592
347,0.4060,0.3255,0.3836,0.0947,0.4783,3.1305,-0.0604
348,0.3613,0.2885,0.3419,0.0960,0.4379,2.8425,-0.0556
349,0.3662,0.3371,0.3264,0.1085,0.4350,2.8605,-0.0544
350,0.3420,0.2505,0.3272,0.0925,0.4197,2.8346,-0.0568
