Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
210,0.1994,0.1427,0.7525,0.1492,0.9017,2.0984,-0.0375
211,0.2308,0.1572,0.7441,0.1864,0.9305,2.0933,-0.0399
212,0.2441,0.1714,0.7568,0.2175,0.9743,2.1011,-0.0387
213,0.2066,0.1365,0.6858,0.2182,0.9039,1.9216,-0.0399
214,0.2054,0.1416,0.6966,0.2178,0.9143,1.9679,-0.0375
215,0.2187,0.1420,0.7284,0.2198,0.9482,1.9907,-0.0435
216,0.2030,0.1442,0.7019,0.2482,0.9501,1.9079,-0.0411
217,0.2199,0.1481,0.7456,0.1873,0.9329,2.0825,-0.0411
218,0.2211,0.1419,0.7286,0.2341,0.9628,2.0294,-0.0399
219,0.2066,0.1423,0.6853,0.2481,0.9334,1.9400,-0.0387
220,0.2103,0.1473,0.7438,0.1888,0.9325,2.0294,-0.0411
221,0.2308,0.1537,0.7293,0.2192,0.9485,2.0402,-0.0411
222,0.2501,0.1853,0.7852,0.2172,1.0024,2.1937,-0.0399
223,0.2248,0.1611,0.7425,0.2174,0.9599,2.0633,-0.0399
224,0.2767,0.1908,0.7952,0.2172,1.0124,2.2381,-0.0399
225,0.2489,0.1643,0.7750,0.2163,0.9914,2.1115,-0.0387
226,0.2103,0.1518,0.7106,0.2481,0.9587,1.9855,-0.0423
227,0.2127,0.1525,0.6986,0.2478,0.9464,1.8853,-0.0387
228,0.2260,0.1530,0.7447,0.1858,0.9305,2.0933,-0.0411
229,0.1982,0.1440,0.7026,0.2249,0.9276,1.9165,-0.0375
230,0.2066,0.1327,0.6743,0.2480,0.9223,1.8626,-0.0375
231,0.2187,0.1605,0.7268,0.2167,0.9435,2.0614,-0.0423
232,0.1873,0.1315,0.6836,0.2079,0.8915,1.8892,-0.0411
233,0.2236,0.1592,0.7303,0.2319,0.9622,2.0332,-0.0387
234,0.1946,0.1468,0.6679,0.2477,0.9156,1.8482,-0.0387
235,0.2538,0.1673,0.7896,0.1546,0.9441,2.2036,-0.0399
236,0.2103,0.1525,0.7283,0.2181,0.9464,2.0360,-0.0411
237,0.2961,0.2000,0.8021,0.1802,0.9823,2.2901,-0.0399
238,0.2369,0.1607,0.7675,0.1860,0.9535,2.1643,-0.0399
239,0.2296,0.1648,0.7437,0.2033,0.9470,2.0533,-0.0375
240,0.2284,0.1705,0.7617,0.1860,0.9477,2.1208,-0.0411
241,0.2598,0.1851,0.7613,0.2180,0.9793,2.1178,-0.0435
242,0.2417,0.1582,0.7575,0.1870,0.9445,2.1400,-0.0399
243,0.2066,0.1429,0.7762,0.1853,0.9615,2.0620,-0.0399
244,0.2296,0.1554,0.7163,0.2331,0.9494,1.9861,-0.0387
245,0.2719,0.1856,0.7730,0.2190,0.9920,2.1677,-0.0399
246,0.2816,0.2057,0.8200,0.1867,1.0066,2.3045,-0.0423
247,0.2248,0.1699,0.7603,0.2163,0.9767,2.0791,-0.0435
248,0.2477,0.1856,0.7599,0.2491,1.0090,2.0770,-0.0399
249,0.2175,0.1683,0.7276,0.2326,0.9602,2.0165,-0.0363
250,0.2369,0.1696,0.7316,0.2164,0.9480,2.0956,-0.0411
251,0.2767,0.1940,0.7972,0.2113,1.0085,2.2339,-0.0411
252,0.2429,0.1797,0.7230,0.2179,0.9410,2.0083,-0.0411
253,0.2647,0.1789,0.7754,0.1867,0.9622,2.2381,-0.0411
254,0.2828,0.1990,0.7777,0.2024,0.9801,2.2033,-0.0387
255,0.2381,0.1768,0.7772,0.2009,0.9781,2.1202,-0.0387
256,0.2804,0.1831,0.7858,0.1861,0.9719,2.1971,-0.0435
257,0.2369,0.1672,0.7474,0.2152,0.9627,2.0743,-0.0375
258,0.2429,0.1602,0.7592,0.1864,0.9457,2.1218,-0.0387
259,0.2006,0.1413,0.7142,0.2015,0.9157,1.9789,-0.0411
260,0.2405,0.1770,0.7928,0.1852,0.9780,2.1721,-0.0411
261,0.2550,0.1765,0.7775,0.1548,0.9323,2.2183,-0.0399
262,0.2236,0.1563,0.7686,0.1863,0.9549,2.1385,-0.0363
