Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
220,0.1680,0.1327,0.3548,0.1453,0.5002,1.8434,-0.0713
221,0.1511,0.1169,0.3514,0.1241,0.4755,1.8078,-0.0749
222,0.1498,0.1201,0.3522,0.1303,0.4825,1.8943,-0.0653
223,0.1571,0.1215,0.3303,0.0795,0.4098,2.0559,-0.0870
224,0.1583,0.1257,0.3675,0.0998,0.4673,2.0153,-0.0834
225,0.1595,0.1227,0.3907,0.0805,0.4712,2.1327,-0.0846
226,0.1559,0.1318,0.3512,0.1123,0.4635,1.9413,-0.0918
227,0.1595,0.1260,0.3521,0.1329,0.4849,1.8806,-0.0483
228,0.1643,0.1187,0.3201,0.1409,0.4610,1.7281,-0.0447
229,0.1619,0.1320,0.3520,0.0955,0.4475,1.9462,-0.0894
230,0.1752,0.1314,0.3681,0.1117,0.4798,1.9733,-0.0846
231,0.1523,0.1179,0.4049,0.0645,0.4693,2.2324,-0.0785
232,0.1523,0.1273,0.3360,0.1278,0.4638,1.8901,-0.0882
233,0.1643,0.1207,0.3517,0.1015,0.4532,1.9397,-0.0870
234,0.1607,0.1256,0.3721,0.0966,0.4687,2.1170,-0.0894
235,0.1607,0.1311,0.3363,0.1415,0.4778,1.7952,-0.0495
236,0.1571,0.1256,0.3517,0.0963,0.4480,2.0026,-0.0495
237,0.1643,0.1315,0.3092,0.1275,0.4368,2.0169,-0.0955
238,0.1643,0.1397,0.3520,0.1286,0.4806,1.9782,-0.0870
239,0.1692,0.1386,0.3636,0.0977,0.4613,2.0987,-0.0580
240,0.1619,0.1239,0.3589,0.0968,0.4557,2.0222,-0.0701
241,0.1849,0.1585,0.3328,0.1445,0.4773,1.8410,-0.0918
242,0.1656,0.1308,0.3643,0.0970,0.4613,2.0766,-0.0628
243,0.1643,0.1309,0.3493,0.1123,0.4616,1.9652,-0.0532
244,0.1716,0.1498,0.3525,0.1113,0.4638,2.0336,-0.0894
