Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
162,0.2634,0.2182,0.2487,0.0907,0.3394,2.6775,-0.0785
163,0.4459,0.3645,0.2731,0.0930,0.3661,3.0594,-0.0520
164,0.4060,0.3721,0.2915,0.0631,0.3546,3.2611,-0.0773
165,0.4121,0.3631,0.2925,0.0623,0.3548,3.3278,-0.0532
166,0.3154,0.2586,0.2800,0.0836,0.3636,2.9115,-0.0810
167,0.5402,0.4685,0.3103,0.0638,0.3741,3.6393,-0.0785
168,0.5172,0.5266,0.2988,0.0872,0.3860,3.5736,-0.0822
169,0.3915,0.3346,0.3256,0.0621,0.3877,3.1457,-0.0737
170,0.3964,0.2898,0.2641,0.0618,0.3259,2.9872,-0.0822
171,0.4242,0.2483,0.2735,0.0612,0.3347,3.0909,-0.0665
172,0.2417,0.1890,0.2443,0.0639,0.3082,2.6405,-0.0749
173,0.3855,0.3331,0.2479,0.0943,0.3422,2.8014,-0.0798
174,0.3335,0.3230,0.2657,0.0593,0.3250,3.0117,-0.0761
175,0.2272,0.1779,0.2319,0.0944,0.3263,2.5295,-0.0798
176,0.2683,0.2816,0.2348,0.1083,0.3431,2.5586,-0.0495
177,0.2695,0.2616,0.2309,0.0946,0.3255,2.7718,-0.0810
178,0.2647,0.1703,0.2499,0.0609,0.3108,2.8651,-0.0616
179,0.3396,0.2635,0.2202,0.0917,0.3119,2.5755,-0.0858
180,0.4701,0.3838,0.2806,0.0625,0.3431,3.2428,-0.0834
181,0.4326,0.3788,0.3102,0.0624,0.3726,3.5601,-0.0773
182,0.4181,0.3820,0.3229,0.0317,0.3545,3.6326,-0.0834
183,0.4483,0.3515,0.2632,0.0933,0.3565,3.2952,-0.0725
184,0.4121,0.2910,0.2953,0.0616,0.3569,3.3331,-0.0810
185,0.4471,0.4216,0.2476,0.1082,0.3559,3.1052,-0.0870
186,0.4906,0.4301,0.2730,0.0943,0.3673,3.1573,-0.0798
187,0.4085,0.3529,0.2864,0.0626,0.3490,3.2422,-0.0665
188,0.3758,0.3876,0.2937,0.0621,0.3558,3.3128,-0.0834
189,0.3964,0.3685,0.2947,0.0620,0.3567,3.3202,-0.0846
190,0.3795,0.3213,0.2761,0.0610,0.3372,3.2586,-0.0773
191,0.3855,0.3368,0.1880,0.0954,0.2833,2.8346,-0.0798
192,0.4810,0.4894,0.2817,0.0612,0.3430,3.5667,-0.0882
193,0.3867,0.3688,0.2957,0.0620,0.3577,3.4466,-0.0870
194,0.3807,0.3018,0.2649,0.0621,0.3270,3.4025,-0.0628
195,0.3577,0.3199,0.2512,0.0613,0.3125,2.8842,-0.0725
196,0.3492,0.2729,0.2488,0.0941,0.3430,3.0065,-0.0810
197,0.4798,0.4517,0.3576,0.0625,0.4202,3.5787,-0.0483
198,0.4471,0.4492,0.3365,0.0622,0.3987,3.5512,-0.0858
199,0.3819,0.3108,0.2929,0.0611,0.3540,3.3488,-0.0870
200,0.4036,0.4279,0.2799,0.0606,0.3404,3.6214,-0.0810
201,0.4362,0.4442,0.2790,0.0626,0.3416,3.5982,-0.0677
202,0.3903,0.3233,0.2481,0.0766,0.3246,3.1419,-0.0761
203,0.4097,0.4400,0.2155,0.0626,0.2781,3.2970,-0.0906
204,0.3456,0.3182,0.2765,0.0304,0.3069,3.3046,-0.0520
205,0.3154,0.3436,0.2482,0.0616,0.3098,3.2252,-0.0870
206,0.3106,0.2681,0.2219,0.0588,0.2806,2.7620,-0.0785
